user_na,user_c,t
minifairyBQ,了却心愿了,Sat Mar 13 08:49:46 +0800 2021
大宝宝080907,中国内需大，不会以前的片子都跑过来重播一遍吧,Sat Mar 13 08:49:27 +0800 2021
SD帆高,这么爱老美？,Sat Mar 13 08:48:47 +0800 2021
元気懵逼小正太,传说中的经典我还没看过，系时候贡献票房了,Sat Mar 13 08:46:54 +0800 2021
哈噗一小僧_LDS,吗,Sat Mar 13 08:46:41 +0800 2021
匪号三木,一会万达imax都起,Sat Mar 13 08:46:13 +0800 2021
三只小猪一个家,还是中国的钱好赚,Sat Mar 13 08:46:09 +0800 2021
是余杰浩,还是中国人的钱好赚，老外都是这么想的哈哈,Sat Mar 13 08:44:33 +0800 2021
抽烟伯伯,不管是不是重映，都是自愿的市场选择，电影的实力代表一切。要是豆瓣top250的能再上映，那必须要看啊，经典看几次都不厌。,Sat Mar 13 08:43:46 +0800 2021
李丶灰还,指,Sat Mar 13 08:42:34 +0800 2021
Ragga,资本主义的电影，不看,Sat Mar 13 08:42:22 +0800 2021
栖栖XIXI,太好笑了，看中国市场太好，纷纷着急前来圈钱,Sat Mar 13 08:40:24 +0800 2021
爱你们的罐头,只有我没看过妇联吗？一看简介就想起来了小时候看的葫芦娃大战变形金刚和黑猫警长大战圣斗士星矢,Sat Mar 13 08:39:38 +0800 2021
大明湖畔的狸子果,值得,Sat Mar 13 08:38:53 +0800 2021
星星de童话,有啥好看的～,Sat Mar 13 08:38:47 +0800 2021
Dentistroyee,以前看两遍 剧情都能背下来,Sat Mar 13 08:38:02 +0800 2021
薛磊北美体育直击,当年奥斯卡最佳影片没有给阿凡达而是给了那个给美军侵略者洗地的拆弹部队，让奥斯卡的含金量一落千丈,Sat Mar 13 08:37:55 +0800 2021
Miss毛毛毛,看什么看…,Sat Mar 13 08:37:10 +0800 2021
Bryce_Yu,次,Sat Mar 13 08:37:02 +0800 2021
OnceUponA,抵制阿凡达,Sat Mar 13 08:37:01 +0800 2021
阿多多比昨天更博学了吗,吗,Sat Mar 13 08:35:43 +0800 2021
洁癖选择困难者,厉害,Sat Mar 13 08:34:40 +0800 2021
小龙虾Bevin,还真别说，演什么我都给忘了，是可以在看一遍了,Sat Mar 13 08:33:43 +0800 2021
Ms-Swann,自2020年疫情以后终于有一部电影能让我走进电影院了 下一次看指环王,Sat Mar 13 08:33:18 +0800 2021
西北望长安001,是不是每隔十年都可以重播一次，这样一部电影可以养一辈子,Sat Mar 13 08:32:40 +0800 2021
久居深海的美人鱼Zoya,放,Sat Mar 13 08:12:16 +0800 2021
天下第一的弟弟,他出片的速度比周星星同学慢多了,Sat Mar 13 07:39:37 +0800 2021
爱情公寓十年粉,钱,Sat Mar 13 07:35:51 +0800 2021
