univNameCn,univNameEn,univTags,univCategory,province,score,ranking
吉林农业大学,Jilin Agricultural University,,农业,吉林,29,277
云南农业大学,Yunnan Agricultural University,,农业,云南,29,277
江苏海洋大学,Huaihai Institute of Technology,,理工,江苏,29,280
鲁东大学,Ludong University,,综合,山东,29,281
北华大学,Beihua University,,综合,吉林,29,282
贵州医科大学,Guizhou Medical University,,医药,贵州,29,282
河南科技学院,Henan Institute of Science and Technology,,师范,河南,29,282
齐齐哈尔大学,Qiqihar University,,综合,黑龙江,29,282
淮北师范大学,Huaibei Normal University,,师范,安徽,29,286
成都信息工程大学,Chengdu University of Information Technology,,理工,四川,29,287
青岛农业大学,Qingdao Agricultural University,,农业,山东,29,288
潍坊医学院,Weifang Medical University,,医药,山东,29,288
齐鲁工业大学,Qilu University of Technology,,理工,山东,29,290
新疆大学,Xinjiang University,一流大学B类 211,综合,新疆,29,290
淮阴工学院,Huaiyin Institute of Technology,,理工,江苏,28,292
北京联合大学,Beijing Union University,,综合,北京,28,293
聊城大学,Liaocheng University,,综合,山东,28,293
蚌埠医学院,Bengbu Medical College,,医药,安徽,28,295
临沂大学,Linyi University,,综合,山东,28,295
黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,,农业,黑龙江,28,297
江西农业大学,Jiangxi Agricultural University,,农业,江西,28,298
北京石油化工学院,Beijing Institute of Petrochemical Technology,,理工,北京,28,299
中原工学院,Zhongyuan University of Technology,,理工,河南,28,299
重庆科技学院,Chongqing University of Science and Technology,,理工,重庆,28,301
内蒙古科技大学,Inner Mongolia University of Science & Technology,,综合,内蒙古,28,301
贵州师范大学,Guizhou Normal University,,师范,贵州,27,303
西南林业大学,Southwest Forestry University,,林业,云南,27,303
四川轻化工大学,Sichuan University of Science and Engineering,,理工,四川,27,305
新疆医科大学,Xinjiang Medical University,,医药,新疆,27,305
江西中医药大学,Jiangxi University of Traditional Chinese Medicine,,医药,江西,26,307
景德镇陶瓷大学,Jingdezhen Ceramic Institute,,理工,江西,26,308
潍坊学院,Weifang University,,综合,山东,24,309
德州学院,Dezhou University,,综合,山东,21,310
