联想(Lenovo)  Y9000X 英特尔酷睿i7 15.6英寸游戏笔记本电脑(i7-9750H 16G 1T 4K UHD)深空灰9代标压I7，14.9mm超薄金属机身，4K500nits高亮度全面屏，100%Adobe0RGB，更多专业配置，为创造者而生！更多好物,8299.00,联想京东自营旗舰店
苹果Apple MacBook Pro 2020款13.3英寸笔记本电脑超薄 轻薄本【原装正品】 灰色 20款 10代i7四核 16G 1TBSSD,17399.00,Apple爱豆专卖店
惠普（hp）星15青春版【10代新品】笔记本电脑15.6寸窄边框全面屏轻薄大学生高性能手提游戏本 i5-1035g1【mx330 2g独显】高清屏 配置三：8g/512g固态【标...十代酷睿处理器【20年新品】MX330独立显卡、1.74KG/1.99CM轻薄便携机身、5.5MM窄边框1080P高清屏购机享好礼、点击抢大额神劵,4499.00,惠普电脑授权专卖店
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i5-1035G1 8G 512GSSD UMA IPS)银惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i5-1035G1 8G 512GSSD UMA IPS)银,3999.00,惠普京东自营官方旗舰店
华硕a豆 adolbook13 2020 十代酷睿 13.3英寸高颜值全面屏超轻薄全金属笔记本电脑 迷幻海洋套装 100%sRGB高色域 i5-1035G1 16G MX350 512固态【京东秒杀】9月21日14点-22日14点，adolbook14-2020千禧粉，十代酷睿i5，MX350独显，限时价4969，赠包鼠垫晒单有礼，详情快戳这里！,5799.00,adol官方旗舰店
华为笔记本电脑MateBook D 14 14英寸全面屏轻薄本锐龙手提超薄本超级本 银｜i5-10210U+16G+512G【独显】 标配【预装正版办公软件】【新品促销】白条3期免息+R5六核处理器【购机即送】送雷柏蓝牙鼠标+双肩包等【咨询优惠】R5+16G+512G版本低至4XX9元,5199.00,华为千百回专卖店
京品电脑RedmiBook 16 锐龙版 超轻薄全面屏(6核R5-4500U 8G 512G 100% sRGB高色域)灰 手提 笔记本电脑 小米 红米【全面屏7nm锐龙】全新4500U、金属机身、16.1英寸超大高清屏幕、迷你Type-c充电器、178°超广视角更多爆款,3799.00,小米京东自营旗舰店
惠普（HP）官方旗舰店 星14进阶版 十代酷睿 星13系列轻薄超薄商用手提学生女游戏笔记本电脑超极本 静谧银：【背光键盘版-十代2020新款】 13.3寸：i5/8G/512G/HD【爆款版】,5199.00,惠普授权旗舰店
联想(Lenovo)小新13 2020超轻薄笔记本电脑 高色域全面屏 高性能学生办公设计游戏本 十代i5 8G 512G MX350独显 月光银十代酷睿满血独显，PS、AI、英雄联盟统统搞定；8小时长续航轻至1.2kg；高色域全面屏；年度爆款，热卖8W+，19-21日【限时秒杀600券后4399】,4999.00,联想华东授权专卖店
华为(HUAWEI)MateBook D 14全面屏轻薄笔记本电脑多屏协同便携超级快充(i5-10210U 8G+512G 独显)灰华为(HUAWEI)MateBook D 14全面屏轻薄笔记本电脑多屏协同便携超级快充(i5-10210U 8G+512G 独显)灰,4799.00,华为京东自营官方旗舰店
联想小新Pro13 2020锐龙款 13.3英寸超轻薄本笔记本电脑 大学生全面屏设计办公手提电脑 8核R7-4800U 16G 512G 高色域 灰 100%sRGB DC调光 W10限时最后48小时！惊喜爆抢价，错过悔终身！！！小新Air13酷睿十代16G+512G满配性能版，难得吐血再降六百元，限时抢！【再赠价值199元双肩包鼠套装】,5999.00,联想电脑授权专卖店
联想（Lenovo）IdeaPad14s 2020款 十代英特尔酷睿 14英寸 高性能轻薄笔记本电脑 银色 i5-10210U/512G/MX330鼠标套装全新十代酷睿，酷睿i5版本搭配新一代MX330显卡，游戏更出色，第三代Fn+Q智能散热调节【查看爆品小新Pro13,4566.00,联想京东自营官方旗舰店
京品电脑联想ThinkBook 14(05CD)英特尔酷睿i7 14英寸轻薄笔记本电脑(十代i7-1065G7 16G 512G傲腾增强型SSD）全新英特尔10nmCPU工艺；时尚外观轻薄便携；窄边框高清屏；指纹开机免密码；长待机续航,6299.00,ThinkPad京东自营旗舰店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 8G 512GSSD GTX1650Ti 4G 144Hz)钛空灰,5999.00,华硕京东自营官方旗舰店
联想V14 2020款高端性能十代酷睿i3独显窄边框超薄本轻薄学生超极本游戏商务办公手提笔记本电脑 标配I3-1005G1 8G 256G MX330 2G独显 全高清屏 星空灰下单立减300元，再送联想原装鼠标，十代酷睿强芯-MX330独显-FHD屏，让视野更广，预装正版office杜绝盗版死机，全国上门联保两年，足不出户，高忱无忧！,3799.00,联想扬天京东自营授权旗舰店
机械师创物者L 120Hz全面屏轻薄本十代i7-10510U/MX350独显游戏笔记本电脑 旗舰版16G/512G PCIE高速固态【21号秒杀，抢600元券，到手价低至4989元】120Hz电竞屏、MX350独显、三面铝合金轻薄机身、双接口充电、Wifi6无线网络技术,5799.00,MACHENIKE机械师旗舰店
Apple 2020新款 MacBook Air 13.3 Retina屏 十代i5 8G 512G SSD 深空灰 笔记本电脑 轻薄本 MVH22CH/A【火热9月】12期免息券每天抢~新款MacBook赠30天无忧试用，19年款MBP低至8499~赠多功能拓展坞~快来领取吧,9999.00,Apple产品京东自营旗舰店
宏碁  传奇 14英寸 新7nm六核处理器  轻薄本 笔记本电脑(R5 4500U 16G  512GSSD Win10)紫【学生用机@商务办公优选】全新7nm锐龙，标配背光键盘+WIFI6，接口丰富，指纹识别，11小时长续航点击直达链接,3799.00,宏碁京东自营旗舰店
京品电脑惠普（HP）战66 三代 15.6英寸轻薄笔记本电脑（i5-10210U 8G 512G MX250 2G 高色域 一年上门 2年电池）【9.3-9.25购买战66G3intel版评论晒单限量送HP无线耳机（详情咨询客服）】400尼特高色域屏，19项军标认证，超高性价比！活动详情,4899.00,惠普京东自营官方旗舰店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
华为MateBook D 14/15 超薄笔记本电脑办公学生游戏商务本手提电脑 D14｜银i5十代/16G/512G固态/独显  带正版Win10系统/office办公软件【稀缺新品】7nm八核高性能轻薄本可选！送无线鼠标+包！【直播间领好礼】【2K触屏款仅售5599元】,5199.00,华为肆玖专卖店
"京品电脑戴尔DELL灵越7000 15.6英寸 英特尔酷睿i7轻薄笔记本电脑(十代i7-10750H 8G 512G GTX1650Ti 4G独显)白金银十代标压i7高性能版新品上市，GTX1650Ti高性能独显，100%sRGB全面屏,Wifi6大文件倍速传输。查看更多",7779.00,戴尔京东自营官方旗舰店
神舟(HASEE)战神K670E-G4A6 英特尔奔腾G5420 GTX 1050 3G 15.6英寸游戏笔记本电脑(8G 512G SSD IPS)桌面级处理器G5420，GTX1050独显，512G大容量固态，15.6英寸IPS屏。十代游戏本新品特惠,3389.00,神舟电脑京东自营旗舰店
神舟(HASEE)战神TX6-CT5DA 英特尔酷睿i5-9400 GTX1650 4G 16.1英寸144Hz游戏笔记本电脑(8G 512G SSD)酷睿i5桌面级强悍性能处理器！搭载GTX1650新显卡+144Hz电竞屏！十代游戏本新品特惠,4989.00,神舟电脑京东自营旗舰店
"惠普（HP） Pavilion14 十代酷睿 2020新品14英寸超薄笔记本 学生青春轻薄时尚电脑 i5-1035G1 14.0""银 预装office 8G 512G PCIE【学生精选】【9月20日0:00开抢--超级点杀】抢300、600劵--惠普超品日【十代酷睿新品独显版低至4099】2020年新品丨Pavilion14+学生办公时尚青春本",4199.00,惠普授权旗舰店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
