联想小新Pro13 13.3英寸2020款 2.5K高色域全面屏轻薄笔记本电脑办公游戏本学生超极本 标配 R7-4800U 16G 512G固态 100%高色域  2.5K分辨率 2020【2.5K分辨率】【100%高色域】【DC调光不闪屏】【8小时长续航】标压锐龙16G+512G固态直降200点击去秒杀,5599.00,联想育新授权专卖店
戴尔（DELL）灵越5000 5493/5593 14/15.6英寸十代学生商务办公笔记本电脑 5493:i5-1035G1 MX230 2G独显 16G/256G固态+1T 定制戴尔（DELL）灵越5000 5493/5593 14/15.6英寸十代学生商务办公笔记本电脑 5493:i5-1035G1 MX230 2G独显 16G/256G固态+1T 定制,4699.00,戴尔卓越专卖店
拍拍【二手9成新】华硕笔记本飞行堡垒 A454 FL5700 FX50轻薄商务办公电脑 i5-5200 8G 256G固态 独显机械革命X7ti，15.6英寸一键散热i7-6700HQ/8G/1T+128G固态/GTX1060独显，优惠价4199，下单撮~，下单撮~,1819.00,亿柯二手电脑专营店
戴睿dere超轻薄笔记本电脑15.6英寸窄边框全新四核便携手提学生商务办公游戏上网本背光键盘指纹解锁 贵雅红 16G内存 256G固态+500G硬盘戴睿dere超轻薄笔记本电脑15.6英寸窄边框全新四核便携手提学生商务办公游戏上网本背光键盘指纹解锁 贵雅红 16G内存 256G固态+500G硬盘,2598.00,戴睿旗舰店
"办公笔记本电脑 银色背光键盘全面屏Intel-J4105-8G内存 SSD固态256G硬盘+高档蓝牙鼠标套餐满980-200限量券,热卖推荐,历史低价,买贵退差,12期免息,秒杀开抢,享晒单豪礼进店领取限量大额神券",1728.00,得峰旗舰店
联想笔记本电脑 扬天V110 15.6英寸轻薄便携商务办公学生本大屏独显双核芯上网课影音家用 定制A4-9120 8G 512G固态 Win7 2G独显 office 黑色联想笔记本电脑 扬天V110 15.6英寸轻薄便携商务办公学生本大屏独显双核芯上网课影音家用 定制A4-9120 8G 512G固态 Win7 2G独显 office 黑色,2999.00,联想天佑专卖店
宏基（acer）笔记本电脑暗影骑士 超轻薄15.6英寸微边框商务办公学生设计手提独显宏碁吃鸡游戏本 8G内存丨512G固态丨GTX1650 4G独丨R5四核处理器丨闪耀红色背光键盘丨4G独显GTX1650丨微边框游戏本丨CoolBoost风扇增压系统，冷酷运行丨搭载杜比音效，让你声临其境,4999.00,宏碁宏奥专卖店
联想ThinkBook 轻薄商务办公游戏 全高清屏笔记本电脑 十代酷睿i5/i7 ThinkBook 15寸-3QCD i7-1065G7 10nm架构 16G内存 512G固态+32G傲腾增强版 升【咨询有礼】ThinkBook可选十代酷睿'10nm架构”新品丨FHD全高清屏丨2G独显丨时尚轻薄便携丨运行流畅长待机续航丨指纹识别丨背光键盘！关注店铺领红包》,5599.00,ThinkPad成都授权专卖店
惠普（HP）星14青春版 14英寸轻薄便携 超轻薄金属商务办公学生游戏手提笔记本电脑 星14青春版【星空银-10代i5版】  标准版 4G/PCI-E 256G【新品】惠普（HP）星14青春版 14英寸轻薄便携 超轻薄金属商务办公学生游戏手提笔记本电脑 星14青春版【星空银-10代i5版】  标准版 4G/PCI-E 256G【新品】,3899.00,惠普赞晓专卖店
联想IdeaPad14s锐龙版2020款R5笔记本电脑超薄本14英寸轻薄女生学生商务办公游戏超级本 定制｜R5-4600U 20G内存 256G固态 荣耀银【全新7纳米丨6核12线程R5-4600U处理器】【性能不输i5】【双通道内存】【PCIE疾速固态硬盘】【新品上市丨稀缺货源丨抢购中】,3799.00,联想率秀图新授权专卖店
拍拍【二手9成新】联想 T430 笔记本电脑 T420 410  X220 X201  吃鸡游戏本LOL X201 I5 4G 320G超薄特价【狂欢促销】联想超薄本i5三代4G120G固态仅售998！,678.00,蓝鸿二手商品专营店
联想小新14 2020超轻薄笔记本电脑10纳米smart AI智能高性能游戏设计学生办公本 十代酷睿 i5-1035G1 16G 512G固态 标配 MX350独显 14英寸IPS高色域全面屏【10纳米全新十代酷睿，AI加速，16G版本搭载全新MX350独立显卡】金属机身轻薄长续航，PS、AI设计、英雄联盟统统搞定，限时领300券，4899起,5399.00,联想华东授权专卖店
华为(HUAWEI)MateBook 13 2020款 锐龙版 全面屏轻薄笔记本电脑 银(标压R5-4600H 16+512G 官配  2K全面屏 自带office)【9月19日-21日】百亿补贴券~领券至高减611元！【爆款推荐】标压R5-16G+1TB券后价5199元【豪礼即赠】送无线鼠标+双肩包等！~猛戳抢购！,4799.00,华为德信专卖店
"15.6英寸 超簿本 轻薄本 笔记本电脑轻薄 超级本 学生网上课堂电脑 远程办公电脑 得峰笔记本电脑 银灰色-超窄边框Intel-J3455/8G内存 SSD512G高速固态硬盘满980-200限量券,热卖推荐,历史低价,买贵退差,12期免息,秒杀开抢,享晒单豪礼进店领取限量大额神券",1878.00,得峰旗舰店
惠普（HP）光影精灵5 学生电竞本15.6英寸笔记本电脑吃鸡游戏本暗影精灵5兄弟版 i5-9300H GTX1650独显4G 紫光版 8G内存 512G SSD 标准版惠普（HP）光影精灵5 学生电竞本15.6英寸笔记本电脑吃鸡游戏本暗影精灵5兄弟版 i5-9300H GTX1650独显4G 紫光版 8G内存 512G SSD 标准版,5299.00,惠普康特专卖店
15.6英寸轻薄便携超薄本 轻薄本 超极本 商务办公手提电脑 学生网上课堂 摩天酷笔记本电脑 升级版银色J4105 8G内存+128G固态+500G机械时尚超薄机身+全高清屏+高速固态硬盘，【三期免息+七天无理由退货】购物无忧,1598.00,摩天酷官方旗舰店
机械革命x3X8TI-S十代八核i7 10875H RTX2060 144Hz电竞学生游戏笔记本电脑 10代八核i7/16G512高速固态+1T黑色【21号电脑数码狂欢，疯狂24小时，券后爆低7799】【八核强芯-独显直连-WiFi6】2020高端电竞RGB键盘|光追显卡-144HZ-88%屏幕占比-,8999.00,机械革命旗舰店
戴尔（DELL）笔记本灵越5000 5493 14.0英寸学生家用办公轻薄2020款笔记本电脑  i7-1065G7 MX230独显 16G内存 NVMe512G固态硬盘 店铺定制【戴尔开学季，领券立减】灵越5493轻薄本，版直降400！领券再减！限时秒杀到手价低至2769起，去看看15.6英寸版去看看15.6英寸版,5499.00,戴尔金盛专卖店
戴尔（DELL）灵越5593笔记本 15.6英寸5000系列十代酷睿轻薄固态商务学生手提电脑 新品|十代酷睿i3-1005G1|UHD 银色 【进阶版】8G内存 256GPCIe固态+1T机械【9月19-20号戴尔开学季】疯狂48小时【爆款直降】联系客服抢【京东300/600神券再减】【送戴尔原装键鼠】【白条免息，晒单再送30话费】,3399.00,戴尔华宏创天专卖店
15.6英寸四核超薄本笔记本电脑轻薄本学生游戏手提商务办公超级本上网本分期免息电脑笔记本 玫瑰红 套餐十【8G内存+256高速固态】八代四核处理器，512G高速固态，5G双频WiFi，IPS大屏，保价15天，买贵退差价【现货速发，购买咨询服务，好礼，送完即止】咨询客服领大额神券,1508.00,格莱富电脑旗舰店
15.6英寸四核超薄本笔记本电脑轻薄本学生游戏手提商务办公超级本上网本分期免息电脑笔记本 玫瑰红 套餐十一【8G内存+512高速固态】八代四核处理器，512G高速固态，5G双频WiFi，IPS大屏，保价15天，买贵退差价【现货速发，购买咨询服务，好礼，送完即止】咨询客服领大额神券,1638.00,格莱富电脑旗舰店
惠普（HP）星15系列笔记本电脑hp笔记本电脑畅游人i5窄边框超极本轻薄便携独显学生游戏本 静谧银i5 1035G1【高色域/MX250独显】 推荐五：16G/512G高速固态【下单送无线键盘】【新品】十代酷睿，MX250满血版2G独显、金属机身、1.85KG轻薄便携机身,6199.00,惠普蓝星专卖店
华为(HUAWEI)MateBook 13 2020款 锐龙版 全面屏轻薄笔记本电脑 银(标压R5-4600H 16+512G 官配  2K全面屏 自带office)【9月19日-21日】百亿补贴券~领券至高减611元！【爆款推荐】标压R5-16G+1TB券后价5199元【豪礼即赠】送无线鼠标+双肩包等！~猛戳抢购！,4799.00,华为德信专卖店
神舟战神Z7/Z7M/G7/10代i5/i7GTX1650/1660Ti全面屏游戏本笔记本电脑 Z7-CU5升级:i5-10200H/16/512【直播间专属礼包】键盘+散热器+耳机+32G优盘【限时特惠】10代i5/GTX1650券后低至4688元，更多活动,5588.00,神舟海神专卖店
ThinkPad E14 i3/i5/i7 联想14英寸E系列家用商务办公轻薄便携商务便携笔记本电脑 【01CD】十代酷睿 四核i5-10210U 8G内存128GB固态+1TB【定制】E480/E490升级款，1920*1080高分屏。暑期促销，追评晒单送视频会员月卡！联系客服更多好礼！查看急速发货快速送达专区！,4699.00,ThinkPad重庆授权专卖店
【酷睿i7+独显2G游戏本】15.6英寸超轻薄窄边框笔记本电脑吃鸡金属商务办公大学生本便携超级本手提 酷睿i7 + MX130 2G独显 16G内存/256G M.2固态+1TB机械盘迎中秋国庆限时大额优惠券！夏不为利，现货顺丰急发！两个版本外形一样，区别为GT940M独显和MX130独显，流畅GTA5和吃鸡以及3D制图，特效玩LOL。,4388.80,iru旗舰店
华为笔记本MateBook 13/14锐龙版轻薄本2K全面屏六核商务办公学生超薄手提笔记本电脑 14六核灰R5-4600H 16G 512G触屏华为笔记本MateBook 13/14锐龙版轻薄本2K全面屏六核商务办公学生超薄手提笔记本电脑 14六核灰R5-4600H 16G 512G触屏,5599.00,华为康特专卖店
"天宝T-bao R8 15.6英寸轻薄笔记本电脑 便携商务i7超薄游戏本 学生网上课堂远程办公超极本 酷睿i7CPU 8G内存 128G固态硬盘 高速处理器【爆款钜惠#全金属高性能】学生网课办公娱乐，全芯超越，沉浸式低音炮，智能散热调节,全尺寸背光键盘,丰富主流接口立即点击购买",2399.00,天宝电脑旗舰店
惠普（HP） 星14 笔记本电脑 14英寸轻薄本微边框学生办公商务游戏惠普笔记本 新品i5-1035G1 MX250-2G 初恋粉 16G内存 512GPCI-E 指纹背光 定制惠普星10代，MX330-2G独显，暑期开学季，惠普电脑9.19-9.21全场满4980-600.下单送笔记本大礼包星系列专场点击,5599.00,惠普华辉专卖店
"联想小新Pro13.3英寸2020新款超轻薄学生办公笔记本电脑QHD高色域人脸识别锐龙R5/R7可选 2020款 灰色 锐龙R5-4600U六核／核显 16G内存／512G固态 标配2.5K超高清屏,16G双通道内存,DC调光无屏闪,人脸识别开盖即开机19日-21日平台补贴，领大额神券",5199.00,联想西南授权专卖店
惠普（hp）星15系列笔记本电脑hp笔记本电脑畅游人i5窄边框超极本轻薄便携独显学生游戏本 自然银i7 1065g7【高清屏mx330独显】 推荐七：16g/512g高速固态...【下单送无线键盘】【新品】十代酷睿，MX250满血版2G独显、金属机身、1.85KG轻薄便携机身,6339.00,惠普蓝星专卖店
超轻薄2.5K屏高色域笔记本电脑手提商务办公设计本 八核R7-4800U 16G内存 512G SSD 人脸识别 IPS高色域屏 背光键盘 银灰色 升级款2020新品六核锐龙小新版！13.3英寸超轻薄金属机身仅1.28kg让您告别以往笨拙负重出行，四面窄边高色域低蓝光2.5K屏丨限时直降300元，下单赠包鼠好礼,5899.00,联想德信专卖店
联想（Lenovo）小新13 2020款全新十代酷睿i5高色域笔记本电脑 商务设计学生游戏超薄本 标配丨十代i7 8G 512G丨MX350 银 72%NTSC色域【限时领券立减200元】全新十代酷睿i5/i7可选丨游戏性能级别独显MX350可选丨72%NTSC高色域，窄边框大视野【Pro13明星款活动低至4299元起】,5299.00,联想卓电授权专卖店
华为笔记本MateBook13 2020款超轻薄13英寸商务办公性能手提本电脑2K全面屏 银丨I5-10210U 16G 512G独显 触屏【9月19日-21日】百亿补贴券~领券至高减611元！【爆款推荐】标压R5-16G+1TB券后价5199元【豪礼即赠】送无线鼠标+双肩包等！~猛戳抢购！,5969.00,华为德信专卖店
APPLE 苹果2020年新款MacBook air笔记本电脑13.3英寸超薄笔记本19年款 深空灰色 【20款】i3/8G/256G官方标配【今日钜惠】下单抽iPhone等万元豪礼！领神卷立减100元；京东多仓配送，下单还送定制手提包+鼠标等好礼！MacBook-16.1英寸秒杀直降中，点此！,7488.00,科族数码专营店
华硕（ASUS）VivoBook15s超薄笔记本电脑十代酷睿商务办公便携全面屏窄边框独显轻薄本 蓝V4000/i5-8265U/MX230-2G 12G内存/1T/256G固态套餐五【9月21日京东秒杀】到手价4299起，十代处理器（选配），MX330-2G独显（选配），512G固态，窄边框，联系客服享更多好礼,4499.00,华硕智凝专卖店
【2020新款】联想IdeaPad15s 锐龙六核R5大屏14商务办公小清新大学生超轻薄笔记本电脑 六核R5-4600U 8G内存 1T+256G固态 15.6英寸 精装升级 银色【强芯硬实力】全新7nm六核十二线程锐龙处理器【15.6英寸高清大屏幕】办公学习娱乐视野不再受限【咨询享优惠好礼】领300元神券再赠价值199元礼包,3899.00,联想德信专卖店
惠普（HP）战66三代 轻薄笔记本电脑 商用办公超薄游戏惠普笔记本 I5-10210U MX250-2G高色域14英寸 16G内存 512G PCI-E固态 定制【惠普战66笔记本，19项军标认证，180度开合，暑期开学季，惠普电脑9.19-9.21全场满4980-600.下单送游戏本大礼包】笔记本专区点击,5499.00,惠普宇泰专卖店
戴尔（DELL）笔记本灵越5000 5593 15.6英寸10代轻薄家用办公学生2020款笔记本电脑 i7-1065G7 4G独显 16G内存NVMe512G固态+1T机械 店铺定制【戴尔开学季，领券立减】26-31号灵越5593轻薄本，版直降400！领券再减！限时秒杀，看看14.0英寸版14.0英寸版,6099.00,戴尔金盛专卖店
华为荣耀MagicBook 14 笔记本电脑全面屏14英寸超轻薄便携学生商务办公超极本冰河银 2020款14SE R5-3500U 16 512【嗨9开学季】尊享3期免息！限时特惠【特惠助力】购机送包鼠礼包！咨询客服有好礼【京东/顺丰配送】晒单送网口拓展坞-各种惊喜不断，点击查看详情>>,4099.00,荣耀策山专卖店
戴尔（DELL）灵越5593 燃5000 15.6英寸家用轻薄超极本商务办公学生游戏笔记本电脑 闪耀银 十代酷睿i3 全高清屏 窄边框 疾速版 i3/8G/512GPCIE固态【9月19-20号戴尔开学季】疯狂48小时【爆款直降】联系客服抢【京东300/600神券再减】【送戴尔原装键鼠】【白条免息，晒单再送30话费】,3599.00,戴尔华宏创天专卖店
【现货】华为笔记本MateBook14 2020款2K触控屏14英寸超轻薄本超极本全面屏商务办公电脑 【新品】灰丨R5-4600H 16G+512G触屏【限时好礼】购机下单送雷柏无线鼠标+时尚双肩包等好礼！白条三期免息！,5699.00,华为桑核专卖店
惠普（HP）星14 学生超轻薄商用办公手提笔记本电脑【2020新品上市】 静谧银 十代i5 8G 512G 核显【13.3英寸】【菱角分明--星系列14--低至4499】【2020新款上市--MX330+16G低至5099】【每一面棱角尽显--指纹识别+白色柔和背光键盘】,4499.00,惠普授权旗舰店
宏碁(Acer)蜂鸟7全面屏14英寸商务办公便携超轻薄触控屏笔记本电脑(i7-8500Y 16G 512GSSD IPS win10)堂纸白【秒杀预告：限时直降230元，到手4369元，晒单送单肩手提包】镁合金IPS屏轻薄本，轻至1.19kg，独显WIFI6长续航，72%NTSC色域立即抢购(此商品不参加上述活动),11999.00,宏碁京东自营旗舰店
华为笔记本 MateBook 14 超极本  2020新款 14英寸2K轻薄本商务办公笔记本电脑 十代i7/16G/512G/独显/触屏/灰华为MateBook-2020款锐龙7nm新品发售，下单六期免息，送原装鼠标/双肩包/耳机等豪华礼包，点击领取限时优惠券下单更便宜详情请点击查看,7688.00,华为比特专卖店
13.3英寸超轻薄金属窄边框商务办公游戏本手提笔记本电脑 【木纹版】十代i5 8G 512G MX250独显 指纹识别 背光键盘 72%高色域【祝莘莘学子/旗开得胜】下单送豪礼！100-300元优惠券任性抢！酷睿十代i5/2G独显仅售3999元，点击购买~,6599.00,惠普远科专卖店
联想(Lenovo)S540 13.3英寸酷睿i5轻薄学生超薄本商务家用超级本办公手提笔记本电脑 定制【i5-8265U/32G/512G固态】 R540X 2G独显 IPS全高清 银河灰下单立减300元，再送联想原装鼠标，新八代i酷睿i5四核性能更强，指纹识别开机键二合一！预装正版office杜绝盗版死机，全国上门联保两年，足不出户，安枕无忧！,6099.00,联想扬天京东自营授权旗舰店
戴尔（DELL）笔记本灵越5000/成就5000系列 超极本轻薄家用学生网课商务办公游戏笔记本电脑 冰河银|14.0英寸|i7-10510U|2G独显 定制版 8G内存 512G PCIE固态+1T...【9月19-20号戴尔开学季】疯狂48小时【爆款直降】联系客服抢【京东300/600神券再减】【送戴尔原装键鼠】【白条免息，晒单再送30话费】,5799.00,戴尔华宏创天专卖店
【JD仓发货】现代/HYUNDAI 笔记本电脑超薄商务办公本学习上网本Intel七代四核双频WIFI 【15.6英寸】8G内存 128G固态 灰【JD仓发货】现代/HYUNDAI 笔记本电脑超薄商务办公本学习上网本Intel七代四核双频WIFI 【15.6英寸】8G内存 128G固态 灰,1769.00,现代电脑旗舰店
拍拍【二手9成新】联想 T430 笔记本电脑 T420 410  X220 X201  吃鸡游戏本LOL  T410 i5 4G 320G机械【狂欢促销】联想超薄本i5三代4G120G固态仅售998！,788.00,蓝鸿二手商品专营店
联想笔记本电脑ideapad15s锐龙版2020新款高性能轻薄本六核十二线程R5-4600U 8G 512G固态 定制版ideapad15s 数字小键盘暑价钜惠开抢，领神券立减300元，闭眼入手慢无，全新六核十二线程7纳米不输酷睿i7推8G-512G固到手价3399，设计游戏无压力,3699.00,联想有点授权专卖店
华为荣耀笔记本电脑 MagicBook 14/15.6英寸2020轻薄本超极本高清屏学生商务办公娱乐 爆款14六核R5-4500U 8+256固态  旗舰正品 官方标配华为荣耀笔记本电脑 MagicBook 14/15.6英寸2020轻薄本超极本高清屏学生商务办公娱乐 爆款14六核R5-4500U 8+256固态  旗舰正品 官方标配,3799.00,荣耀咖博专卖店
戴尔（DELL）灵越5000 5593/5493 十代酷睿四核家用轻薄游戏商务办公学生手提笔记本电脑 银色|14.0英寸|i5-1035G1|2G独显 8G内存 512GPCIE固态硬盘 热卖款戴尔（DELL）灵越5000 5593/5493 十代酷睿四核家用轻薄游戏商务办公学生手提笔记本电脑 银色|14.0英寸|i5-1035G1|2G独显 8G内存 512GPCIE固态硬盘 热卖款,4299.00,戴尔华宏创天专卖店
华为笔记本MateBook 14 2020款超薄本全面屏超极本轻薄商务办公手提笔记本电脑 灰｜I5-10210U 16G 512G独显 触屏【嗨9开学季】咨询客服限时特惠！【店长推荐】十代i5-16G+512G抢购价低至6399【豪礼即赠】送无线鼠标+拓展坞+双肩包等！~猛戳抢购！,6399.00,华为德信专卖店
15.6英寸 笔记本电脑 酷睿i5i7 游戏本 超级本 轻薄本 LOL昂福镭仕 便携办公学生上网本 酷睿i7 8G内存+512G固态硬盘网络教学教育学生网课学习超薄窄边框超极本游戏本吃鸡本独显酷睿i5i7畅玩吃鸡/绝地求生/LOL/CF/DNF/GTA5/守望先锋（分期免息）【活动大礼包】,2988.00,昂福镭仕电脑专营店
"华为荣耀笔记本电脑MagicBook 15  15.6英寸超轻薄学习商务办公笔记本 20新款银｜R7-4700U/16G/512固态【降】分期免息，全新7nm处理器，限时直降【礼】下单赠大礼包,晒单领扩展坞【抢】收藏关注领移动电源，享优先发货查询更多福利点击",4699.00,新通路数码专营店
惠普（HP）星14青春版超薄微窄边框轻薄笔记本商务学生AMD锐龙R7四核电脑 星空银：R3 3250U 高清屏 8G/512G固态惠普（HP）星14青春版超薄微窄边框轻薄笔记本商务学生AMD锐龙R7四核电脑 星空银：R3 3250U 高清屏 8G/512G固态,3469.00,惠普蓝星专卖店
拍拍【二手9成新】联想Lenovo拯救者Y700/R720/Y7000/Y7000P二手笔记本电脑游戏本 三R720i5-7300H 8G/240G1050【二手9成新】联想Lenovo拯救者Y700/R720/Y7000/Y7000P二手笔记本电脑游戏本 三R720i5-7300H 8G/240G1050,3099.00,欧域二手电脑专营店
联想小新Pro13 2020超薄笔记本电脑13.3英寸十代i5超极本i7女生款轻薄学生办公游戏超级本 定制丨i5-10210U 16G 1TB固态硬盘 荣耀银自营同款丨2560*1600分辨率丨面容识别丨16G内存（内存板载不可升级）丨DC调光不闪屏丨秒杀【酷睿i7独显版开学价仅6099元丨抢限量600元神券】,5099.00,联想率秀图新授权专卖店
"华为荣耀笔记本电脑MagicBook14/15全面屏超薄本轻薄本便携学生商务办公本超极本冰河银 15.6英寸R5-3500U 16G 512G集显【开学优惠购】咨询客服有优惠！收藏加购下单送包鼠大礼包,晒图送网口拓展坞，享三期免息，赠运费险！-荣耀MagicbookPro2020低至4699，点击抢购。",3999.00,荣耀策山专卖店
联想ThinkPad X1 Carbon 英特尔酷睿i5/i7 14英寸轻薄商务笔记本电脑 i7十代  16G 512G 4G版 05CD【开学换新嗨购进行中】2019款X1，采用高密度碳纤维材质外壳，轻至1.09kg，薄至14.95mm。,12999.00,ThinkPad京东官方自营旗舰店
拍拍【二手9成新】联想（Thinkpad）L512 i5 二手笔记本电脑 轻薄便携商务办公 ibm L512 i5/8G/256G固态实惠推荐 联想thinkpad大促狂欢：店铺所有商品下单享优惠，满999减50，满1999减150，满5299减200，欢迎领劵下单。L540i58G内存256全新固态畅玩LOL热卖爆款,1099.00,剑匣二手商品专营店
"【10代新品】联想ThinkPad E14 1WCD 2020款14英寸轻薄便携商务游戏笔记本电脑 i7-10510U RX640 高分屏 双面金属 【定制】16G内存512G固态+1TBE14新款新模具，双面金属材质，十代酷睿i7,1.8-4.9高主频版，可激活office2019",7299.00,ThinkPad重庆授权专卖店
联想小新15性能版Plus 2020款15.6英寸设计师大屏窄边框四核超轻薄游戏本办公手提笔记本电脑 灰色i5-1035G1 16G 512G固态｜热卖 MX350独显 正版office【嗨购九月！抢600元优惠券下单更优惠！】2020新品大屏高性能轻薄本，四面窄边高画质全面屏，全新十代酷睿四核，11小时续航点此选择小新15同款锐龙版,5899.00,联想众信授权专卖店
【八核高配版】联想小新Pro13 2020锐龙版 2.5K高色域全面屏 超轻薄笔记本电脑 八核R7-4800U 16G 1T固态 定制灰 Vega游戏核显【13小时长续航】8核16线程R7，16G双通道大内存，2.5K超高分辨率，DC调光无闪护眼屏，人脸识别黑科技【Vega游戏核显，媲美独显】限时领券立减500券,6299.00,联想华东授权专卖店
【多仓发货】联想扬天V110 15.6英寸 V系列  9系流畅办公家用影音笔记本电脑 轻薄便携 定制A6-9220 8G内存 256G固态  2G独显 正版win10【特推新款】V110升级款，9系处理器，8G内存，256G高速固态硬盘，领券立减100元，包鼠五件套收到即用，详情咨询客服！,2746.00,联想北达兴科专卖店
联想拯救者Y7000 2020年推荐 1080P专业电竞游戏笔记本电脑r 六核酷睿i7-9750HF 32G 1T+256G固态 赤焰黑 定制GTX1660Ti GDDR6 6G电竞独显标压i7六核十二线程丨IPS防眩光全面屏丨GTX1660Ti-6G发烧级电竞独显丨Y型信仰灯效丨红色背光键盘丨爆款16G+512G【限时领600券到手7999】,9299.00,联想华东授权专卖店
联想ThinkPad E14 (2020新品）14英寸轻薄商务ibm手提笔记本电脑 i5-10210u 16G 512G固态丨2JCD  快速充电  炫酷黑 WVA FHD屏定制E490升级款，可选十代处理器，轻薄不再是想象，轻约1.73kg，接口丰富，支持扩内存+双硬盘，正版office选16G大内存,5599.00,ThinkPad华北授权专卖店
联想ThinkPad X390（1ECD）英特尔酷睿i7 13.3英寸高性能轻薄笔记本电脑(i7-10510U 8G 512G傲腾 100%sRGB)4G可选全时互联，A4大小机身，8000米高空办公利器，窄边框设计，100%sRGB色域，标配黑阀安全隐私摄像头，指纹识别,9499.00,ThinkPad京东自营旗舰店
戴尔（DELL）Latitude3400商务办公轻薄便携笔记本14英寸赛扬双核手提电脑家用学生 1年保修 赛扬4205U 4G 1T机械 标配【京秋钜惠，新品硬核返场】9月19日！凡购买3400赛扬，即免费升级发新品3410！低至2349起新品带回家！猛戳客服小姐姐再享下单豪礼,2499.00,戴尔商用瑞华专卖店
戴尔（DELL）灵越5000 5593/5493 2020款超极本学生办公女生轻薄本手提笔记本电脑 14.0英寸|银色|十代i3-1005G1|UHD 8G内存 512GPcie固态硬盘 定制版【9月19-20号戴尔开学季】疯狂48小时【爆款直降】联系客服抢【京东300/600神券再减】【送戴尔原装键鼠】【白条免息，晒单再送30话费】,3199.00,戴尔华宏创天专卖店
苹果（Apple） MacBook Air 13.3英寸轻薄办公笔记本电脑 17款- 标配 六期免息【新品上市】2020新款，全国多仓速发，极速到达，抢券立减50元！点此前往~,5678.00,APPLE翔合专卖店
联想ThinkPad X1 Carbon 英特尔酷睿i5/i7 14英寸轻薄商务笔记本电脑 i7-8565U 8G 512G 2K屏 2BCD【开学换新嗨购进行中】2019款X1，采用高密度碳纤维材质外壳，轻至1.09kg，薄至14.95mm。,10999.00,ThinkPad京东官方自营旗舰店
机械师T90 Plus 17.3英寸游戏本十代i7-10750H/GTX1650Ti独显笔记本电脑 144Hz电竞版/16G/512G固态+1TB【活动钜惠，16G/512G固态套餐到手低至6999元】17.3英寸全面屏、10代i7、GTX1650Ti-4G独显、多彩背光键盘,8099.00,机械师京东自营官方旗舰店
拍拍【二手9成新】联想 T430 笔记本电脑 T420 410  X220 X201  吃鸡游戏本LOL X201 i7 4G 120G固 超薄本【狂欢促销】联想超薄本i5三代4G120G固态仅售998！,868.00,蓝鸿二手商品专营店
苹果Apple  2019新款MacBook Pro16英寸 /15.4英寸笔记本电脑 新款 16英寸 512G 灰色【新品上市】2020新款，全国多仓速发，极速到达，抢券立减50元！点此前往~,16688.00,APPLE翔合专卖店
"联想ThinkBook 十代酷睿i5/i7轻薄游戏本 指纹解锁笔记本电脑ThinkPad 14-09CD(10代i5/背光键盘/全高清屏 8GB内存512GBNVME高速固态）标配【王源代言】【ThinkPad新锐时尚品牌】,T15同尺寸,时尚外观轻薄便携；窄边框高清屏；指纹开机免密码秒；工作生活一机兼顾。16G内存",4499.00,ThinkPad华北授权专卖店
15.6英寸 笔记本电脑 超薄本 锐龙R7金属轻薄本 全面屏 吃鸡LOL游戏本昂福镭仕AMD办公学习 【酷睿i7独显吃鸡】 8G内存+512G固态硬盘网络教学教育学生网课学习超薄窄边框超极本游戏本独显酷睿i5i7畅玩LOL/吃鸡/绝地求生（分期免息）【点击查看】,3688.00,昂福镭仕电脑专营店
联想拯救者Y7000 2020款1080p高色域全面屏 专业电竞游戏笔记本电脑r 十代酷睿i5 16G 1T+512G固态 幻影黑 定制 新GTX1650 4G GDDR6电竞独显标压酷睿i5+GTX1650电竞独显，畅玩吃鸡，专业PS，视频剪辑，统统搞定！硬盘内存皆可扩展，未来无限可能！限时惊爆价6299起，领券满减立省500元,7399.00,联想华东授权专卖店
戴尔（DELL）笔记本电脑 成就5490/5590 十代酷睿窄边框商务办公学生游戏轻薄本 14英寸|i5-10210U|MX250-2G独显 16G内存/512G 高速固态14英寸金属AD面，十代新品，窄边框，82%屏幕高占比，2G独显，支持快速充电，智能温控，去看看十代i5超轻薄实力本去看看十代i5超轻薄实力本,4899.00,戴尔京灵笔记本专卖店
联想ThinkPad T490s 14英寸商务轻薄便携手提笔记本电脑 英特尔酷睿 i5八代 8G 32G傲腾+512G 0SCD联想ThinkPad T490s 14英寸商务轻薄便携手提笔记本电脑 英特尔酷睿 i5八代 8G 32G傲腾+512G 0SCD,7796.00,ThinkPad京东官方自营旗舰店
联想ThinkPad X13 Yoga 2020新款 13.3英寸翻转触摸屏高性能轻薄商务笔记本电脑 10CD丨i7-10510U 16G 1TBSSD 【官方标配】+便携口红电源 黑色联想ThinkPad X13 Yoga 2020新款 13.3英寸翻转触摸屏高性能轻薄商务笔记本电脑 10CD丨i7-10510U 16G 1TBSSD 【官方标配】+便携口红电源 黑色,13199.00,ThinkPad定制版专卖店
惠普(HP)星14青春版 高清超薄微窄边框轻薄笔记本手提电脑商务游戏女生学生 银色（轻薄款） 十代I5 | 8G | 256G SSD | 集显【热门爆款】I5-1035G1丨可选8G内存丨可选固态硬盘丨14.1英寸丨轻薄窄边框丨推荐配置到手价仅3699元！,3699.00,惠普鑫强利达专卖店
